,Num. Days In Fluid,Fluid Ca2+ (mM),Fluid Na+ (mM),Precursor Conc. (wt. %),Crosslinker Conc. (mM),Detach. Pressure (PSI),Nozzle Diam. (mm),Nozzle Angle (deg),Dist. P to N (cm),Angle P to N (deg),Flow Rate (uL/min),Nozzle Coating,Surface Tension (mN/m),Microgel Diam. (um)
108,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,297.5526214
109,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,244.9657698
110,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,244.476
111,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,274.36224
112,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,231.2912997
113,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,288.9334192
114,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,270.1428943
115,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,287.3633851
116,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,308.0500483
117,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,257.2426923
118,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,262.8317815
119,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,291.9346962
120,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,266.2044578
121,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,269.3157925
122,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,283.1154061
123,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,279.526546
124,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,322.1795455
125,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,367.3984203
126,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,347.7483339
127,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,374.9200045
128,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,354.7320565
129,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,336.0436637
130,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,340.2504414
131,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,403.4762103
132,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,362.2341773
133,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,382.3779921
134,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,357.5530959
135,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,340.3235507
136,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,389.7024189
137,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,368.9671557
138,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,358.0153537
139,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,377.3181053
140,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,333.5856753
141,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,393.7925106
142,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,352.1552266
143,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,377.0397276
144,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,390.9839262
145,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,385.1681962
146,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,367.5406639
147,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,372.5530292
148,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,384.6251431
149,0.0,10.0,0.0,2.0,10.0,40.0,0.15,45,30.0,0,200,0,72.01,368.7534305
150,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,563.145823
151,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,568.1225717
152,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,569.5284981
153,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,580.5924976
154,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,527.514071
155,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,556.7230139
156,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,542.6363513
157,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,544.6290544
158,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,558.5774713
159,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,531.7549186
160,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,577.1471053
161,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,560.4446882
162,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,518.8831765
163,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,554.4720179
164,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,506.4655499
