,Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,StabilityLabel
91,1.65,0.0,0.95,0.9,2,14.4,2.0,0.689,1.0,317.2240039872317,33.89190000000001,15.475850000000001,1
92,1.36,2.54,0.65,0.9,2,11.9,2.0,0.689,1.0,122.3428667880134,3.215385,3.875845,1
93,0.84,2.54,0.65,0.9,2,11.9,2.0,0.689,1.0,122.3428667880134,3.215385,3.875845,1
94,1.65,0.0,0.65,0.9,2,11.9,2.0,0.689,1.0,122.3428667880134,3.215385,3.875845,1
95,1.54,2.54,0.65,0.9,2,11.9,2.0,0.689,1.0,122.3428667880134,3.215385,3.875845,1
96,1.36,2.54,0.75,0.9,2,11.9,2.0,0.689,1.0,215.1835483210777,9.62691,6.49666,1
97,0.84,2.54,0.75,0.9,2,11.9,2.0,0.689,1.0,215.1835483210777,9.62691,6.49666,1
98,1.65,0.0,0.75,0.9,2,11.9,2.0,0.689,1.0,215.1835483210777,9.62691,6.49666,1
99,1.54,2.54,0.75,0.9,2,11.9,2.0,0.689,1.0,215.1835483210777,9.62691,6.49666,1
100,1.36,2.54,0.85,0.9,2,11.9,2.0,0.689,1.0,282.18100048188865,24.170749999999998,12.72365,1
101,0.84,2.54,0.85,0.9,2,11.9,2.0,0.689,1.0,282.18100048188865,24.170749999999998,12.72365,1
102,1.65,0.0,0.85,0.9,2,11.9,2.0,0.689,1.0,282.18100048188865,24.170749999999998,12.72365,1
103,1.54,2.54,0.85,0.9,2,11.9,2.0,0.689,1.0,282.18100048188865,24.170749999999998,12.72365,1
104,1.36,2.54,0.95,0.9,2,11.9,2.0,0.689,1.0,317.2240039872317,33.89190000000001,15.475850000000001,1
105,0.84,2.54,0.95,0.9,2,11.9,2.0,0.689,1.0,317.2240039872317,33.89190000000001,15.475850000000001,1
106,1.65,0.0,0.95,0.9,2,11.9,2.0,0.689,1.0,317.2240039872317,33.89190000000001,15.475850000000001,1
107,1.54,2.54,0.95,0.9,2,11.9,2.0,0.689,1.0,317.2240039872317,33.89190000000001,15.475850000000001,1
