,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (mm),Surface Tension (mN/m),Formation Outcome
393,2.0,1,40,10,140,72.01,1
394,2.0,1,40,10,140,72.01,1
395,2.0,1,40,10,140,72.01,1
396,2.0,1,40,10,140,72.01,1
397,2.0,1,40,10,140,72.01,1
398,2.0,1,40,10,140,72.01,1
399,2.0,1,40,10,140,72.01,1
400,2.0,1,40,10,140,72.01,1
401,2.0,1,40,10,140,72.01,1
402,2.0,1,40,10,140,72.01,1
403,2.0,1,40,10,140,72.01,1
404,2.0,1,40,10,140,72.01,1
405,2.0,1,40,10,140,72.01,1
406,2.0,1,40,10,140,72.01,1
407,2.0,1,40,10,140,72.01,1
408,2.0,1,40,10,140,72.01,1
409,2.0,1,40,10,140,72.01,1
410,2.0,1,40,10,140,72.01,1
411,2.0,1,40,10,140,72.01,1
412,2.0,1,40,10,140,72.01,1
413,2.0,1,40,10,140,72.01,1
414,2.0,1,40,10,140,72.01,1
415,2.0,1,40,10,140,72.01,1
416,2.0,1,40,10,140,72.01,1
417,2.0,1,40,10,140,72.01,1
418,2.0,1,40,10,140,72.01,1
419,2.0,1,40,10,140,72.01,1
420,2.0,1,40,10,140,72.01,1
421,2.0,1,40,10,140,72.01,1
422,2.0,1,40,10,140,72.01,1
423,2.0,1,40,10,140,72.01,1
424,2.0,1,40,10,140,72.01,1
425,2.0,1,40,10,140,72.01,1
426,2.0,1,40,10,140,72.01,1
427,2.0,1,40,10,140,72.01,1
428,2.0,1,40,10,140,72.01,1
429,2.0,1,40,10,140,72.01,1
430,2.0,1,40,10,140,72.01,1
431,2.0,1,40,10,140,72.01,1
432,2.0,1,40,10,140,72.01,1
433,2.0,1,40,10,140,72.01,1
434,2.0,1,40,10,140,72.01,1
435,2.0,1,40,10,140,72.01,1
436,2.0,1,40,10,140,72.01,1
437,2.0,1,40,10,140,72.01,1
438,2.0,1,40,10,140,72.01,1
439,2.0,1,40,10,140,72.01,1
440,2.0,1,40,10,140,72.01,1
441,2.0,1,40,10,140,72.01,1
442,2.0,1,40,10,140,72.01,1
443,2.0,1,40,10,140,72.01,1
444,2.0,1,40,10,140,72.01,1
445,2.0,1,40,10,140,72.01,1
446,2.0,1,40,10,140,72.01,1
447,2.0,1,6,100,140,72.01,1
448,2.0,1,6,100,140,72.01,1
449,2.0,1,6,100,140,72.01,1
450,2.0,1,6,100,140,72.01,1
451,2.0,1,6,100,140,72.01,1
452,2.0,1,6,100,140,72.01,1
453,2.0,1,6,100,140,72.01,1
454,2.0,1,6,100,140,72.01,1
455,2.0,1,6,100,140,72.01,1
456,2.0,1,6,100,140,72.01,1
457,2.0,1,6,100,140,72.01,1
458,2.0,1,6,100,140,72.01,1
459,2.0,1,6,100,140,72.01,1
460,2.0,1,6,100,140,72.01,1
461,2.0,1,6,100,140,72.01,1
462,2.0,1,6,100,140,72.01,1
463,2.0,1,6,100,140,72.01,1
464,2.0,1,6,100,140,72.01,1
465,2.0,1,6,100,140,72.01,1
466,2.0,1,6,100,140,72.01,1
467,2.0,1,6,100,140,72.01,1
468,2.0,1,6,100,140,72.01,1
469,2.0,1,6,100,140,72.01,1
470,2.0,1,6,100,140,72.01,1
471,2.0,1,6,100,140,72.01,1
472,2.0,1,6,100,140,72.01,1
473,2.0,1,6,100,140,72.01,1
474,2.0,1,6,100,140,72.01,1
475,2.0,1,6,100,140,72.01,1
476,2.0,1,6,100,140,72.01,1
477,2.0,1,6,100,140,72.01,1
478,2.0,1,6,100,140,72.01,1
479,2.0,1,6,100,140,72.01,1
480,2.0,1,6,100,140,72.01,1
481,2.0,1,6,100,140,72.01,1
482,2.0,1,6,100,140,72.01,1
483,2.0,1,6,100,140,72.01,1
484,2.0,1,6,100,140,72.01,1
485,2.0,1,6,100,140,72.01,1
486,2.0,1,6,100,140,72.01,1
487,2.0,1,6,100,140,72.01,1
488,2.0,1,6,100,140,72.01,1
489,2.0,1,6,100,140,72.01,1
490,2.0,1,6,100,140,72.01,1
491,2.0,1,40,100,140,72.01,1
492,2.0,1,40,100,140,72.01,1
493,2.0,1,40,100,140,72.01,1
494,2.0,1,40,100,140,72.01,1
495,2.0,1,40,100,140,72.01,1
496,2.0,1,40,100,140,72.01,1
497,2.0,1,40,100,140,72.01,1
498,2.0,1,40,100,140,72.01,1
499,2.0,1,40,100,140,72.01,1
500,2.0,1,40,100,140,72.01,1
501,2.0,1,40,100,140,72.01,1
502,2.0,1,40,100,140,72.01,1
503,2.0,1,40,100,140,72.01,1
504,2.0,1,40,100,140,72.01,1
505,2.0,1,40,100,140,72.01,1
506,2.0,1,40,100,140,72.01,1
507,2.0,1,40,100,140,72.01,1
508,2.0,1,40,100,140,72.01,1
509,2.0,1,40,100,140,72.01,1
510,2.0,1,40,100,140,72.01,1
511,2.0,1,40,100,140,72.01,1
512,2.0,1,40,100,140,72.01,1
513,2.0,1,40,100,140,72.01,1
514,2.0,1,40,100,140,72.01,1
515,2.0,1,40,100,140,72.01,1
516,2.0,1,40,100,140,72.01,1
517,2.0,1,40,100,140,72.01,1
518,2.0,1,40,100,140,72.01,1
519,2.0,1,40,100,140,72.01,1
520,2.0,1,40,100,140,72.01,1
521,2.0,1,40,100,140,72.01,1
522,2.0,1,40,100,140,72.01,1
523,2.0,1,40,100,140,72.01,1
524,2.0,1,40,100,140,72.01,1
525,2.0,1,40,100,140,72.01,1
526,2.0,1,40,100,140,72.01,1
527,2.0,1,40,100,140,72.01,1
528,2.0,1,40,100,140,72.01,1
529,2.0,1,40,100,140,72.01,1
530,2.0,1,40,100,140,72.01,1
531,2.0,1,40,100,140,72.01,1
532,2.0,1,40,100,140,72.01,1
533,2.0,1,40,100,140,72.01,1
534,2.0,1,40,100,140,72.01,1
535,2.0,1,40,100,140,72.01,1
536,2.0,1,40,100,140,72.01,1
537,2.0,1,40,100,140,72.01,1
538,2.0,1,40,100,140,72.01,1
539,2.0,1,40,100,140,72.01,1
540,2.0,1,40,100,140,72.01,1
541,2.0,1,40,100,140,72.01,1
542,2.0,1,40,100,140,72.01,1
543,2.0,1,40,100,140,72.01,1
544,2.0,1,40,100,140,72.01,1
545,2.0,1,40,100,140,72.01,1
546,2.0,1,40,100,140,72.01,1
547,2.0,1,40,100,140,72.01,1
548,2.0,1,40,100,140,72.01,1
549,2.0,1,40,100,140,72.01,1
550,2.0,1,40,100,140,72.01,1
551,2.0,1,40,100,140,72.01,1
552,2.0,1,40,100,140,72.01,1
553,2.0,1,40,100,140,72.01,1
554,2.0,1,40,100,140,72.01,1
555,2.0,1,40,100,140,72.01,1
556,2.0,1,40,100,140,72.01,1
557,2.0,1,40,100,140,72.01,1
558,2.0,1,40,100,140,72.01,1
559,2.0,1,40,100,140,72.01,1
560,2.0,1,40,100,140,72.01,1
561,2.0,1,40,100,140,72.01,1
562,2.0,1,40,100,140,72.01,1
563,2.0,1,40,100,140,72.01,1
564,2.0,1,40,100,140,72.01,1
565,2.0,1,40,100,140,72.01,1
566,2.0,1,40,100,140,72.01,1
567,2.0,1,40,100,140,72.01,1
568,2.0,1,40,100,140,72.01,1
569,2.0,1,40,100,140,72.01,1
570,2.0,1,40,100,140,72.01,1
571,2.0,1,40,100,140,72.01,1
572,2.0,1,40,100,140,72.01,1
573,2.0,1,40,100,140,72.01,1
574,2.0,1,40,100,140,72.01,1
575,2.0,1,40,100,140,72.01,1
576,2.0,1,40,100,140,72.01,1
577,2.0,1,40,100,140,72.01,1
578,2.0,1,40,100,140,72.01,1
579,2.0,1,40,100,140,72.01,1
580,2.0,1,40,100,140,72.01,1
581,2.0,1,40,100,140,72.01,1
582,2.0,1,40,100,140,72.01,1
583,2.0,1,40,100,140,72.01,1
584,2.0,1,40,100,140,72.01,1
585,2.0,1,40,100,140,72.01,1
586,2.0,1,40,100,140,72.01,1
587,2.0,1,40,100,140,72.01,1
588,2.0,1,40,100,140,72.01,1
589,2.0,1,40,100,140,72.01,1
590,2.0,1,40,100,140,72.01,1
591,2.0,1,40,100,140,72.01,1
592,2.0,1,40,100,140,72.01,1
593,2.0,1,40,100,140,72.01,1
594,2.0,1,40,100,140,72.01,1
595,2.0,1,40,100,140,72.01,1
596,2.0,1,40,100,140,72.01,1
597,2.0,1,40,100,140,72.01,1
598,2.0,1,40,100,140,72.01,1
599,2.0,1,40,100,140,72.01,1
600,2.0,1,40,100,140,72.01,1
601,2.0,1,40,100,140,72.01,1
602,2.0,1,40,100,140,72.01,1
603,2.0,1,40,100,140,72.01,1
604,2.0,1,40,100,140,72.01,1
605,2.0,1,40,100,140,72.01,1
606,2.0,1,40,100,140,72.01,1
607,2.0,1,40,100,140,72.01,1
608,2.0,1,40,100,140,72.01,1
609,2.0,1,40,100,140,72.01,1
610,2.0,1,40,100,140,72.01,1
611,2.0,1,40,100,140,72.01,1
612,2.0,1,40,100,140,72.01,1
613,2.0,1,40,100,140,72.01,1
614,2.0,1,40,100,140,72.01,1
615,2.0,1,40,100,140,72.01,1
616,2.0,1,40,100,140,72.01,1
617,2.0,1,40,100,140,72.01,1
618,2.0,1,40,100,140,72.01,1
619,2.0,1,40,100,140,72.01,1
620,2.0,1,40,100,140,72.01,1
621,2.0,1,40,100,140,72.01,1
622,2.0,1,40,100,140,72.01,1
623,2.0,1,40,100,140,72.01,1
624,2.0,1,40,100,140,72.01,1
625,2.0,1,40,100,140,72.01,1
626,2.0,1,40,100,140,72.01,1
627,2.0,1,40,100,140,72.01,1
628,2.0,1,40,100,140,72.01,1
629,2.0,1,40,100,140,72.01,1
