,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (cm),Surface Tension (mN/m),Shape Outcome
428,2.0,1,40,10,140,72.01,1
429,2.0,1,40,10,140,72.01,1
430,2.0,1,40,10,140,72.01,1
431,2.0,1,40,10,140,72.01,1
432,2.0,1,40,10,140,72.01,1
433,2.0,1,40,10,140,72.01,1
434,2.0,1,40,10,140,72.01,1
435,2.0,1,40,10,140,72.01,1
436,2.0,1,40,10,140,72.01,1
437,2.0,1,40,10,140,72.01,1
438,2.0,1,40,10,140,72.01,1
439,2.0,1,40,10,140,72.01,1
440,2.0,1,40,10,140,72.01,1
441,2.0,1,40,10,140,72.01,1
442,2.0,1,40,10,140,72.01,1
443,2.0,1,40,10,140,72.01,1
444,2.0,1,40,10,140,72.01,1
445,2.0,1,40,10,140,72.01,1
446,2.0,1,40,10,140,72.01,1
447,2.0,1,6,100,140,72.01,3
448,2.0,1,6,100,140,72.01,3
449,2.0,1,6,100,140,72.01,3
450,2.0,1,6,100,140,72.01,3
451,2.0,1,6,100,140,72.01,3
452,2.0,1,6,100,140,72.01,3
453,2.0,1,6,100,140,72.01,3
454,2.0,1,6,100,140,72.01,3
455,2.0,1,6,100,140,72.01,3
456,2.0,1,6,100,140,72.01,3
457,2.0,1,6,100,140,72.01,3
458,2.0,1,6,100,140,72.01,3
459,2.0,1,6,100,140,72.01,3
460,2.0,1,6,100,140,72.01,3
461,2.0,1,6,100,140,72.01,3
462,2.0,1,6,100,140,72.01,3
463,2.0,1,6,100,140,72.01,3
464,2.0,1,6,100,140,72.01,3
465,2.0,1,6,100,140,72.01,3
466,2.0,1,6,100,140,72.01,3
467,2.0,1,6,100,140,72.01,3
468,2.0,1,6,100,140,72.01,3
469,2.0,1,6,100,140,72.01,3
470,2.0,1,6,100,140,72.01,3
471,2.0,1,6,100,140,72.01,3
472,2.0,1,6,100,140,72.01,3
473,2.0,1,6,100,140,72.01,3
474,2.0,1,6,100,140,72.01,3
475,2.0,1,6,100,140,72.01,3
476,2.0,1,6,100,140,72.01,3
477,2.0,1,6,100,140,72.01,3
478,2.0,1,6,100,140,72.01,3
479,2.0,1,6,100,140,72.01,3
480,2.0,1,6,100,140,72.01,3
481,2.0,1,6,100,140,72.01,3
482,2.0,1,6,100,140,72.01,3
483,2.0,1,6,100,140,72.01,3
484,2.0,1,6,100,140,72.01,3
485,2.0,1,6,100,140,72.01,3
486,2.0,1,6,100,140,72.01,3
487,2.0,1,6,100,140,72.01,3
488,2.0,1,6,100,140,72.01,3
489,2.0,1,6,100,140,72.01,3
490,2.0,1,6,100,140,72.01,3
491,2.0,1,40,100,140,72.01,3
492,2.0,1,40,100,140,72.01,3
493,2.0,1,40,100,140,72.01,3
494,2.0,1,40,100,140,72.01,3
495,2.0,1,40,100,140,72.01,3
496,2.0,1,40,100,140,72.01,3
497,2.0,1,40,100,140,72.01,3
498,2.0,1,40,100,140,72.01,3
499,2.0,1,40,100,140,72.01,3
500,2.0,1,40,100,140,72.01,3
501,2.0,1,40,100,140,72.01,3
502,2.0,1,40,100,140,72.01,3
503,2.0,1,40,100,140,72.01,3
504,2.0,1,40,100,140,72.01,3
505,2.0,1,40,100,140,72.01,3
506,2.0,1,40,100,140,72.01,3
507,2.0,1,40,100,140,72.01,3
508,2.0,1,40,100,140,72.01,3
509,2.0,1,40,100,140,72.01,3
510,2.0,1,40,100,140,72.01,3
511,2.0,1,40,100,140,72.01,3
512,2.0,1,40,100,140,72.01,3
513,2.0,1,40,100,140,72.01,3
514,2.0,1,40,100,140,72.01,3
515,2.0,1,40,100,140,72.01,3
516,2.0,1,40,100,140,72.01,3
517,2.0,1,40,100,140,72.01,3
518,2.0,1,40,100,140,72.01,3
519,2.0,1,40,100,140,72.01,3
520,2.0,1,40,100,140,72.01,3
521,2.0,1,40,100,140,72.01,3
522,2.0,1,40,100,140,72.01,3
523,2.0,1,40,100,140,72.01,3
524,2.0,1,40,100,140,72.01,3
525,2.0,1,40,100,140,72.01,3
526,2.0,1,40,100,140,72.01,3
527,2.0,1,40,100,140,72.01,3
528,2.0,1,40,100,140,72.01,3
529,2.0,1,40,100,140,72.01,3
530,2.0,1,40,100,140,72.01,3
531,2.0,1,40,100,140,72.01,3
532,2.0,1,40,100,140,72.01,3
533,2.0,1,40,100,140,72.01,3
534,2.0,1,40,100,140,72.01,3
535,2.0,1,40,100,140,72.01,3
536,2.0,1,40,100,140,72.01,3
537,2.0,1,40,100,140,72.01,3
538,2.0,1,40,100,140,72.01,3
539,2.0,1,40,100,140,72.01,3
540,2.0,1,40,100,140,72.01,3
541,2.0,1,40,100,140,72.01,3
542,2.0,1,40,100,140,72.01,3
543,2.0,1,40,100,140,72.01,3
544,2.0,1,40,100,140,72.01,3
545,2.0,1,40,100,140,72.01,3
546,2.0,1,40,100,140,72.01,3
547,2.0,1,40,100,140,72.01,3
548,2.0,1,40,100,140,72.01,3
549,2.0,1,40,100,140,72.01,3
550,2.0,1,40,100,140,72.01,3
551,2.0,1,40,100,140,72.01,3
552,2.0,1,40,100,140,72.01,3
553,2.0,1,40,100,140,72.01,3
554,2.0,1,40,100,140,72.01,3
555,2.0,1,40,100,140,72.01,3
556,2.0,1,40,100,140,72.01,3
557,2.0,1,40,100,140,72.01,3
558,2.0,1,40,100,140,72.01,3
559,2.0,1,40,100,140,72.01,3
560,2.0,1,40,100,140,72.01,3
561,2.0,1,40,100,140,72.01,3
562,2.0,1,40,100,140,72.01,3
563,2.0,1,40,100,140,72.01,3
564,2.0,1,40,100,140,72.01,3
565,2.0,1,40,100,140,72.01,3
566,2.0,1,40,100,140,72.01,3
567,2.0,1,40,100,140,72.01,3
568,2.0,1,40,100,140,72.01,3
569,2.0,1,40,100,140,72.01,3
570,2.0,1,40,100,140,72.01,3
571,2.0,1,40,100,140,72.01,3
572,2.0,1,40,100,140,72.01,3
573,2.0,1,40,100,140,72.01,3
574,2.0,1,40,100,140,72.01,3
575,2.0,1,40,100,140,72.01,3
576,2.0,1,40,100,140,72.01,3
577,2.0,1,40,100,140,72.01,3
578,2.0,1,40,100,140,72.01,3
579,2.0,1,40,100,140,72.01,3
580,2.0,1,40,100,140,72.01,3
581,2.0,1,40,100,140,72.01,3
582,2.0,1,40,100,140,72.01,3
583,2.0,1,40,100,140,72.01,3
584,2.0,1,40,100,140,72.01,3
585,2.0,1,40,100,140,72.01,3
586,2.0,1,40,100,140,72.01,3
587,2.0,1,40,100,140,72.01,3
588,2.0,1,40,100,140,72.01,3
589,2.0,1,40,100,140,72.01,3
590,2.0,1,40,100,140,72.01,3
591,2.0,1,40,100,140,72.01,3
592,2.0,1,40,100,140,72.01,3
593,2.0,1,40,100,140,72.01,3
594,2.0,1,40,100,140,72.01,3
595,2.0,1,40,100,140,72.01,3
596,2.0,1,40,100,140,72.01,3
597,2.0,1,40,100,140,72.01,3
598,2.0,1,40,100,140,72.01,3
599,2.0,1,40,100,140,72.01,3
600,2.0,1,40,100,140,72.01,3
601,2.0,1,40,100,140,72.01,3
602,2.0,1,40,100,140,72.01,3
603,2.0,1,40,100,140,72.01,3
604,2.0,1,40,100,140,72.01,3
605,2.0,1,40,100,140,72.01,3
606,2.0,1,40,100,140,72.01,3
607,2.0,1,40,100,140,72.01,3
608,2.0,1,40,100,140,72.01,3
609,2.0,1,40,100,140,72.01,3
610,2.0,1,40,100,140,72.01,3
611,2.0,1,40,100,140,72.01,3
612,2.0,1,40,100,140,72.01,3
613,2.0,1,40,100,140,72.01,3
614,2.0,1,40,100,140,72.01,3
615,2.0,1,40,100,140,72.01,3
616,2.0,1,40,100,140,72.01,3
617,2.0,1,40,100,140,72.01,3
618,2.0,1,40,100,140,72.01,3
619,2.0,1,40,100,140,72.01,3
620,2.0,1,40,100,140,72.01,3
621,2.0,1,40,100,140,72.01,3
622,2.0,1,40,100,140,72.01,3
623,2.0,1,40,100,140,72.01,3
624,2.0,1,40,100,140,72.01,3
625,2.0,1,40,100,140,72.01,3
626,2.0,1,40,100,140,72.01,3
627,2.0,1,40,100,140,72.01,3
628,2.0,1,40,100,140,72.01,3
629,2.0,1,40,100,140,72.01,3
630,2.0,1,40,100,140,72.01,3
631,2.0,1,40,100,140,72.01,3
632,2.0,1,40,100,140,72.01,2
633,2.0,1,40,100,140,72.01,2
634,2.0,1,40,100,140,72.01,2
635,2.0,1,40,100,140,72.01,2
636,2.0,1,40,100,140,72.01,2
637,2.0,1,40,100,140,72.01,2
638,2.0,1,6,10,140,72.01,3
639,2.0,1,6,10,140,72.01,3
640,2.0,1,6,10,140,72.01,3
641,2.0,1,6,10,140,72.01,3
642,2.0,1,6,10,140,72.01,3
643,2.0,1,6,10,140,72.01,3
644,2.0,1,6,10,140,72.01,3
645,2.0,1,6,10,140,72.01,3
646,2.0,1,6,10,140,72.01,3
647,2.0,1,6,10,140,72.01,3
648,2.0,1,6,10,140,72.01,3
649,2.0,1,6,10,140,72.01,3
650,2.0,1,6,10,140,72.01,3
651,2.0,1,6,10,140,72.01,3
652,2.0,1,6,10,140,72.01,3
653,2.0,1,6,10,140,72.01,3
654,2.0,1,6,10,140,72.01,3
655,2.0,1,6,10,140,72.01,3
656,2.0,1,6,10,140,72.01,3
657,2.0,1,6,10,140,72.01,3
658,2.0,1,6,10,140,72.01,3
659,2.0,1,6,10,140,72.01,3
660,2.0,1,40,10,140,72.01,3
661,2.0,1,40,10,140,72.01,3
662,2.0,1,40,10,140,72.01,3
663,2.0,1,40,10,140,72.01,3
664,2.0,1,40,10,140,72.01,3
665,2.0,1,40,10,140,72.01,3
666,2.0,1,40,10,140,72.01,3
667,2.0,1,40,10,140,72.01,3
668,2.0,1,40,10,140,72.01,3
669,2.0,1,40,10,140,72.01,3
670,2.0,1,40,10,140,72.01,3
671,2.0,1,40,10,140,72.01,3
672,2.0,1,40,10,140,72.01,2
673,2.0,1,40,10,140,72.01,2
674,2.0,1,40,10,140,72.01,2
675,2.0,1,40,10,140,72.01,2
676,2.0,1,40,10,140,72.01,2
677,2.0,1,40,10,140,72.01,2
678,2.0,1,40,10,140,72.01,2
679,2.0,1,40,10,140,72.01,2
680,2.0,1,40,10,140,72.01,2
681,2.0,1,40,10,140,72.01,2
682,2.0,1,40,10,140,72.01,2
683,2.0,1,40,10,140,72.01,2
684,2.0,1,40,10,140,72.01,1
685,2.0,1,40,10,140,72.01,1
686,2.0,1,40,10,140,72.01,1
687,2.0,1,40,10,140,72.01,1
688,2.0,1,40,10,140,72.01,1
689,2.0,1,40,10,140,72.01,1
690,2.0,1,40,10,140,72.01,1
691,2.0,1,40,10,140,72.01,1
692,2.0,1,40,10,140,72.01,1
693,2.0,1,40,10,140,72.01,1
