,Displacement (mm),Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,Viscosity_0.1/s,Force (N)
133,31.9199,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.6992
134,33.18,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.6961
135,34.4404,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.6054
136,35.7002,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.4807
137,36.9597,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.2511
138,38.2203,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,3.0466
139,39.4803,1.65,0.0,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,118.96199999999999,2.9169
140,0.0,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,0.0
141,0.4145000000000001,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.6287000000000003
142,0.8349,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.7476000000000003
143,1.2548,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.669
144,1.6747,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.5174000000000003
145,2.9348,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.7349
146,4.1948,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.8044
147,5.4545,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.8974
148,6.714799999999999,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,2.9851
149,7.9749,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.0236
150,9.2347,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.0894
151,10.4945,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.0526
152,11.7548,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.1041000000000003
153,13.0149,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.1347
154,14.2746,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.1482
155,15.5347,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.0466
156,16.794700000000002,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.1714
157,18.0548,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.2805
158,19.3147,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.2938
159,20.574800000000003,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.3344
160,21.8348,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.4765
161,23.094700000000003,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.3994
162,24.3547,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.3818
163,25.614700000000003,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.4576
164,26.8747,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5224
165,28.1347,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5475000000000003
166,29.394900000000003,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5823
167,30.6548,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5780000000000003
168,31.9145,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5665
169,33.1747,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5679000000000003
