,Num_days_in_solvent,Current_solvent,Curr_solv_Ca_conc,Curr_solv_Na_conc,ALG_conc,ALG_MW,Gelation_CaCl2_conc,Air_pressure,Nozzle_diameter,Nozzle_angle,Dist_nozzle_bath,Dist_pressure_nozzle,Angle_pressure_nozzle,EtOH_conc_pct,Extrusion_flow_rate,Tip_coating,Unique ID,Diameter_um,Un_id_updated,Un_id_prev
99,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,272.5875,4,2
100,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,304.9571752,5,2
101,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,248.5730809,5,2
102,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,268.8772002,5,2
103,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,282.4806723,5,2
104,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,246.553192,5,2
105,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,243.4661586,5,2
106,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,225.1933851,5,2
107,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,296.6513645,5,2
108,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,297.5526214,5,2
109,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,244.9657698,5,2
110,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,244.476,5,2
111,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,274.36224,5,2
112,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,231.2912997,5,2
113,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,288.9334192,5,2
114,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,270.1428943,5,2
115,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,287.3633851,5,2
116,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,308.0500483,5,2
117,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,257.2426923,5,2
118,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,262.8317815,5,2
119,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,291.9346962,5,2
120,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,266.2044578,5,2
121,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,269.3157925,5,2
122,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,283.1154061,5,2
123,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,279.526546,5,2
124,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,5,322.1795455,5,2
125,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,367.3984203,6,2
126,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,347.7483339,6,2
127,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,374.9200045,6,2
128,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,354.7320565,6,2
129,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,336.0436637,6,2
130,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,340.2504414,6,2
131,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,403.4762103,6,2
132,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,362.2341773,6,2
133,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,382.3779921,6,2
134,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,357.5530959,6,2
135,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,340.3235507,6,2
136,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,389.7024189,6,2
137,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,368.9671557,6,2
138,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,358.0153537,6,2
139,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,377.3181053,6,2
140,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,333.5856753,6,2
141,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,393.7925106,6,2
142,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,352.1552266,6,2
143,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,377.0397276,6,2
144,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,390.9839262,6,2
145,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,385.1681962,6,2
146,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,367.5406639,6,2
147,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,372.5530292,6,2
148,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,384.6251431,6,2
149,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,6,368.7534305,6,2
150,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,563.145823,7,3
151,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,568.1225717,7,3
